nodeID 	 array_of_pol_pos 	 mean 	 var 	 std 	 NA_count 	 prob_of_NA 
0 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
1 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
2 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
3 	 [40, 40, 50, 50, 40] 	 44.0 	 24.0 	 4.898979485566356 	 0 	 0.0
4 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
5 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
6 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
7 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
8 	 [50, 50, 50, 50, 50] 	 50.0 	 0.0 	 0.0 	 0 	 0.0
9 	 [50, 50, 50, 50] 	 50.0 	 0.0 	 0.0 	 1 	 0.2
10 	 [10, 10, 10, 10, 10] 	 10.0 	 0.0 	 0.0 	 0 	 0.0
11 	 [30, 30, 30, 30, 30] 	 30.0 	 0.0 	 0.0 	 0 	 0.0
12 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
13 	 [50, 50, 50, 50, 50] 	 50.0 	 0.0 	 0.0 	 0 	 0.0
14 	 [50, 50, 50, 50] 	 50.0 	 0.0 	 0.0 	 1 	 0.2
15 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
16 	 [30, 30, 30, 30] 	 30.0 	 0.0 	 0.0 	 1 	 0.2
17 	 [50, 50, 50, 50, 50] 	 50.0 	 0.0 	 0.0 	 0 	 0.0
18 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
19 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
20 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
21 	 [0, 0, 0, 0, 0] 	 0.0 	 0.0 	 0.0 	 0 	 0.0
22 	 [50, 50, 50] 	 50.0 	 0.0 	 0.0 	 2 	 0.4
23 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
24 	 [50, 50, 50, 50] 	 50.0 	 0.0 	 0.0 	 1 	 0.2
25 	 [50, 50, 50, 50, 50] 	 50.0 	 0.0 	 0.0 	 0 	 0.0
26 	 [45, 50, 50, 50, 50] 	 49.0 	 4.0 	 2.0 	 0 	 0.0
27 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
28 	 [40, 40, 40, 40, 40] 	 40.0 	 0.0 	 0.0 	 0 	 0.0
29 	 [40, 40, 40, 40, 40] 	 40.0 	 0.0 	 0.0 	 0 	 0.0
30 	 [40, 40, 40, 40, 40] 	 40.0 	 0.0 	 0.0 	 0 	 0.0
31 	 [40, 40, 40, 40, 40] 	 40.0 	 0.0 	 0.0 	 0 	 0.0
32 	 [30, 30, 30, 30, 30] 	 30.0 	 0.0 	 0.0 	 0 	 0.0
33 	 [40, 40, 40, 40, 40] 	 40.0 	 0.0 	 0.0 	 0 	 0.0
