nodeID 	 array_of_pol_pos 	 mean 	 var 	 std 	 NA_count 	 prob_of_NA 
0 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
1 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
2 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
3 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
4 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
5 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
6 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
7 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
8 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
9 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
10 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
11 	 [35, 35, 35, 35] 	 35.0 	 0.0 	 0.0 	 1 	 0.2
12 	 [40, 45] 	 42.5 	 6.25 	 2.5 	 3 	 0.6
13 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
14 	 [40, 40, 50, 40] 	 42.5 	 18.75 	 4.330127018922194 	 1 	 0.2
15 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
16 	 [50, 50, 50] 	 50.0 	 0.0 	 0.0 	 2 	 0.4
17 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
18 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
19 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
20 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
21 	 [25, 25, 25, 20, 25] 	 24.0 	 4.0 	 2.0 	 0 	 0.0
22 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
23 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
24 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
25 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
26 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
27 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
28 	 [25, 30, 30, 25, 25] 	 27.0 	 6.0 	 2.449489742783178 	 0 	 0.0
29 	 [35, 35, 35, 35, 35] 	 35.0 	 0.0 	 0.0 	 0 	 0.0
30 	 [65, 65, 65, 65, 65] 	 65.0 	 0.0 	 0.0 	 0 	 0.0
31 	 [35, 35, 35, 35, 35] 	 35.0 	 0.0 	 0.0 	 0 	 0.0
32 	 [40, 35] 	 37.5 	 6.25 	 2.5 	 3 	 0.6
33 	 [35, 35, 35, 35, 35] 	 35.0 	 0.0 	 0.0 	 0 	 0.0
34 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
35 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
36 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
37 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
38 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
39 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
