nodeID 	 array_of_pol_pos 	 mean 	 var 	 std 	 NA_count 	 prob_of_NA 
0 	 [30, 30] 	 30.0 	 0.0 	 0.0 	 3 	 0.6
1 	 [65] 	 65.0 	 0.0 	 0.0 	 4 	 0.8
2 	 [75, 75] 	 75.0 	 0.0 	 0.0 	 3 	 0.6
3 	 [30, 25] 	 27.5 	 6.25 	 2.5 	 3 	 0.6
4 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
5 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
6 	 [60] 	 60.0 	 0.0 	 0.0 	 4 	 0.8
7 	 [70, 70, 75, 70, 65] 	 70.0 	 10.0 	 3.1622776601683795 	 0 	 0.0
8 	 [40] 	 40.0 	 0.0 	 0.0 	 4 	 0.8
9 	 [75, 50] 	 62.5 	 156.25 	 12.5 	 3 	 0.6
10 	 [20, 20, 20, 25, 20] 	 21.0 	 4.0 	 2.0 	 0 	 0.0
11 	 [25, 25, 25] 	 25.0 	 0.0 	 0.0 	 2 	 0.4
12 	 [65, 65, 50, 50] 	 57.5 	 56.25 	 7.5 	 1 	 0.2
13 	 [25] 	 25.0 	 0.0 	 0.0 	 4 	 0.8
14 	 [30, 20, 25] 	 25.0 	 16.666666666666668 	 4.08248290463863 	 2 	 0.4
15 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
16 	 [25, 70, 70] 	 55.0 	 450.0 	 21.213203435596427 	 2 	 0.4
17 	 [60, 65, 70, 75, 70] 	 68.0 	 26.0 	 5.0990195135927845 	 0 	 0.0
18 	 [20, 20] 	 20.0 	 0.0 	 0.0 	 3 	 0.6
19 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
20 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
21 	 [20, 25, 20, 25] 	 22.5 	 6.25 	 2.5 	 1 	 0.2
22 	 [25] 	 25.0 	 0.0 	 0.0 	 4 	 0.8
23 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
24 	 [75, 75] 	 75.0 	 0.0 	 0.0 	 3 	 0.6
25 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
26 	 [50] 	 50.0 	 0.0 	 0.0 	 4 	 0.8
27 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
28 	 [30, 20, 25, 20, 25] 	 24.0 	 14.0 	 3.7416573867739413 	 0 	 0.0
29 	 [30, 30, 25, 25, 20] 	 26.0 	 14.0 	 3.7416573867739413 	 0 	 0.0
30 	 [75, 75, 75, 75, 75] 	 75.0 	 0.0 	 0.0 	 0 	 0.0
31 	 [25, 35, 25, 30] 	 28.75 	 17.1875 	 4.14578098794425 	 1 	 0.2
32 	 [65, 30, 25, 30] 	 37.5 	 256.25 	 16.00781059358212 	 1 	 0.2
33 	 [30, 20, 30, 25, 25] 	 26.0 	 14.0 	 3.7416573867739413 	 0 	 0.0
34 	 [30, 40] 	 35.0 	 25.0 	 5.0 	 3 	 0.6
35 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
36 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
37 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
38 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
39 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
40 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
41 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
42 	 [20, 25] 	 22.5 	 6.25 	 2.5 	 3 	 0.6
43 	 [70, 70, 80, 75] 	 73.75 	 17.1875 	 4.14578098794425 	 1 	 0.2
44 	 [75, 75, 70, 70, 75] 	 73.0 	 6.0 	 2.449489742783178 	 0 	 0.0
45 	 [25, 20] 	 22.5 	 6.25 	 2.5 	 3 	 0.6
46 	 [40, 20] 	 30.0 	 100.0 	 10.0 	 3 	 0.6
47 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
48 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
49 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
50 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
51 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
52 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
53 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
54 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
55 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
56 	 [25] 	 25.0 	 0.0 	 0.0 	 4 	 0.8
57 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
58 	 [30, 70] 	 50.0 	 400.0 	 20.0 	 3 	 0.6
59 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
60 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
61 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
62 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
63 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
64 	 [70, 65] 	 67.5 	 6.25 	 2.5 	 3 	 0.6
65 	 [80, 25] 	 52.5 	 756.25 	 27.5 	 3 	 0.6
66 	 [70, 70] 	 70.0 	 0.0 	 0.0 	 3 	 0.6
