nodeID 	 array_of_pol_pos 	 mean 	 var 	 std 	 NA_count 	 prob_of_NA 
0 	 [40, 40, 40, 40, 40] 	 40.0 	 0.0 	 0.0 	 0 	 0.0
1 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
2 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
3 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
4 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
5 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
6 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
7 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
8 	 [50, 50] 	 50.0 	 0.0 	 0.0 	 3 	 0.6
9 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
10 	 [0, 0, 0, 0] 	 0.0 	 0.0 	 0.0 	 1 	 0.2
11 	 [30, 30, 30, 30, 40] 	 32.0 	 16.0 	 4.0 	 0 	 0.0
12 	 [40, 40, 50, 40, 40] 	 42.0 	 16.0 	 4.0 	 0 	 0.0
13 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
14 	 [40, 50, 50] 	 46.666666666666664 	 22.222222222222225 	 4.714045207910317 	 2 	 0.4
15 	 [50, 50, 50, 50, 50] 	 50.0 	 0.0 	 0.0 	 0 	 0.0
16 	 [20, 20, 20, 20, 20] 	 20.0 	 0.0 	 0.0 	 0 	 0.0
17 	 [50, 50, 50, 50, 50] 	 50.0 	 0.0 	 0.0 	 0 	 0.0
18 	 [50, 40, 50, 50, 50] 	 48.0 	 16.0 	 4.0 	 0 	 0.0
19 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
20 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
21 	 [20, 20, 20, 0, 0] 	 12.0 	 96.0 	 9.797958971132712 	 0 	 0.0
22 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
23 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
24 	 [50, 50, 50, 50, 50] 	 50.0 	 0.0 	 0.0 	 0 	 0.0
25 	 [50, 50, 50] 	 50.0 	 0.0 	 0.0 	 2 	 0.4
26 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
27 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
28 	 [40, 20, 40, 40, 40] 	 36.0 	 64.0 	 8.0 	 0 	 0.0
29 	 [30, 25, 25, 25, 20] 	 25.0 	 10.0 	 3.1622776601683795 	 0 	 0.0
30 	 [60, 60, 60, 60, 60] 	 60.0 	 0.0 	 0.0 	 0 	 0.0
31 	 [30, 50, 50, 50, 50] 	 46.0 	 64.0 	 8.0 	 0 	 0.0
32 	 [30, 30, 40, 40, 30] 	 34.0 	 24.0 	 4.898979485566356 	 0 	 0.0
33 	 [40, 40, 40, 40, 40] 	 40.0 	 0.0 	 0.0 	 0 	 0.0
34 	 [50] 	 50.0 	 0.0 	 0.0 	 4 	 0.8
35 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
36 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
37 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
38 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
39 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
40 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
41 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
42 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
43 	 [50, 50, 50, 50, 50] 	 50.0 	 0.0 	 0.0 	 0 	 0.0
44 	 [50] 	 50.0 	 0.0 	 0.0 	 4 	 0.8
45 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
46 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
47 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
48 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
49 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
50 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
51 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
52 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
53 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
54 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
55 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
56 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
57 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
58 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
59 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
