nodeID 	 array_of_pol_pos 	 mean 	 var 	 std 	 NA_count 	 prob_of_NA 
0 	 [30, 35, 30, 30, 30] 	 31.0 	 4.0 	 2.0 	 0 	 0.0
1 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
2 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
3 	 [30, 40] 	 35.0 	 25.0 	 5.0 	 3 	 0.6
4 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
5 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
6 	 [30] 	 30.0 	 0.0 	 0.0 	 4 	 0.8
7 	 [60, 60, 60, 60, 70] 	 62.0 	 16.0 	 4.0 	 0 	 0.0
8 	 [40, 30, 50, 60, 50] 	 46.0 	 104.0 	 10.198039027185569 	 0 	 0.0
9 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
10 	 [30, 30, 30, 30, 20] 	 28.0 	 16.0 	 4.0 	 0 	 0.0
11 	 [30, 30, 30, 30] 	 30.0 	 0.0 	 0.0 	 1 	 0.2
12 	 [50, 40, 50, 50, 60] 	 50.0 	 40.0 	 6.324555320336759 	 0 	 0.0
13 	 [30, 30] 	 30.0 	 0.0 	 0.0 	 3 	 0.6
14 	 [30, 30, 30, 30, 30] 	 30.0 	 0.0 	 0.0 	 0 	 0.0
15 	 [50] 	 50.0 	 0.0 	 0.0 	 4 	 0.8
16 	 [20, 30, 30, 30, 30] 	 28.0 	 16.0 	 4.0 	 0 	 0.0
17 	 [60, 50, 60, 60, 70] 	 60.0 	 40.0 	 6.324555320336759 	 0 	 0.0
18 	 [20, 20, 30, 30, 20] 	 24.0 	 24.0 	 4.898979485566356 	 0 	 0.0
19 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
20 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
21 	 [20, 20, 20, 30, 20] 	 22.0 	 16.0 	 4.0 	 0 	 0.0
22 	 [30, 30] 	 30.0 	 0.0 	 0.0 	 3 	 0.6
23 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
24 	 [70, 70, 70, 70] 	 70.0 	 0.0 	 0.0 	 1 	 0.2
25 	 [30, 30, 30, 30, 40] 	 32.0 	 16.0 	 4.0 	 0 	 0.0
26 	 [30, 70] 	 50.0 	 400.0 	 20.0 	 3 	 0.6
27 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
28 	 [30, 30, 30, 30, 30] 	 30.0 	 0.0 	 0.0 	 0 	 0.0
29 	 [70, 80, 80, 80] 	 77.5 	 18.75 	 4.330127018922194 	 1 	 0.2
30 	 [70, 80, 70, 70, 70] 	 72.0 	 16.0 	 4.0 	 0 	 0.0
31 	 [30, 30, 30, 30] 	 30.0 	 0.0 	 0.0 	 1 	 0.2
32 	 [70, 30, 70, 40, 60] 	 54.0 	 264.0 	 16.24807680927192 	 0 	 0.0
33 	 [30, 30, 50, 30, 30] 	 34.0 	 64.0 	 8.0 	 0 	 0.0
34 	 [50, 50, 50, 40, 50] 	 48.0 	 16.0 	 4.0 	 0 	 0.0
35 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
36 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
37 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
38 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
39 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
40 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
