nodeID 	 array_of_pol_pos 	 mean 	 var 	 std 	 NA_count 	 prob_of_NA 
0 	 [20, 20, 20, 20, 40] 	 24.0 	 64.0 	 8.0 	 0 	 0.0
1 	 [50, 50, 50, 50, 50] 	 50.0 	 0.0 	 0.0 	 0 	 0.0
2 	 [50, 50, 50, 50, 50] 	 50.0 	 0.0 	 0.0 	 0 	 0.0
3 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
4 	 [50, 50, 50, 50, 50] 	 50.0 	 0.0 	 0.0 	 0 	 0.0
5 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
6 	 [50, 50, 50, 50, 50] 	 50.0 	 0.0 	 0.0 	 0 	 0.0
7 	 [55, 55, 55, 55, 55] 	 55.0 	 0.0 	 0.0 	 0 	 0.0
8 	 [50, 50, 50, 50, 50] 	 50.0 	 0.0 	 0.0 	 0 	 0.0
9 	 [50, 50, 50, 50, 50] 	 50.0 	 0.0 	 0.0 	 0 	 0.0
10 	 [20, 20, 20, 20, 20] 	 20.0 	 0.0 	 0.0 	 0 	 0.0
11 	 [25, 25, 25, 25, 25] 	 25.0 	 0.0 	 0.0 	 0 	 0.0
12 	 [55, 55, 55, 55, 55] 	 55.0 	 0.0 	 0.0 	 0 	 0.0
13 	 [40, 40, 40, 40, 40] 	 40.0 	 0.0 	 0.0 	 0 	 0.0
14 	 [20, 20, 20, 20, 20] 	 20.0 	 0.0 	 0.0 	 0 	 0.0
15 	 [50, 50, 50, 50, 50] 	 50.0 	 0.0 	 0.0 	 0 	 0.0
16 	 [20, 20, 20, 20, 20] 	 20.0 	 0.0 	 0.0 	 0 	 0.0
17 	 [55, 55, 55, 55, 55] 	 55.0 	 0.0 	 0.0 	 0 	 0.0
18 	 [20, 20, 20, 40, 20] 	 24.0 	 64.0 	 8.0 	 0 	 0.0
19 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
20 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
21 	 [20, 20, 20, 20, 20] 	 20.0 	 0.0 	 0.0 	 0 	 0.0
22 	 [50, 50, 50, 50, 50] 	 50.0 	 0.0 	 0.0 	 0 	 0.0
23 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
24 	 [60, 55, 55, 55, 60] 	 57.0 	 6.0 	 2.449489742783178 	 0 	 0.0
25 	 [50, 50, 50, 50, 50] 	 50.0 	 0.0 	 0.0 	 0 	 0.0
26 	 [50, 50, 50, 50, 50] 	 50.0 	 0.0 	 0.0 	 0 	 0.0
27 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
28 	 [20, 20, 20, 20, 20] 	 20.0 	 0.0 	 0.0 	 0 	 0.0
29 	 [20, 20, 20, 20, 20] 	 20.0 	 0.0 	 0.0 	 0 	 0.0
30 	 [60, 60, 60, 60, 60] 	 60.0 	 0.0 	 0.0 	 0 	 0.0
31 	 [20, 20, 20, 20, 20] 	 20.0 	 0.0 	 0.0 	 0 	 0.0
32 	 [25, 30, 30, 30, 25] 	 28.0 	 6.0 	 2.449489742783178 	 0 	 0.0
33 	 [25, 20, 25, 25, 20] 	 23.0 	 6.0 	 2.449489742783178 	 0 	 0.0
34 	 [50, 50, 50, 50, 50] 	 50.0 	 0.0 	 0.0 	 0 	 0.0
35 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
36 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
37 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
38 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
39 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
40 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
41 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
42 	 [30, 30, 30, 40, 40] 	 34.0 	 24.0 	 4.898979485566356 	 0 	 0.0
43 	 [75, 60, 60, 60, 60] 	 63.0 	 36.0 	 6.0 	 0 	 0.0
44 	 [55, 55, 55, 55, 55] 	 55.0 	 0.0 	 0.0 	 0 	 0.0
45 	 [20, 20, 20, 20, 20] 	 20.0 	 0.0 	 0.0 	 0 	 0.0
46 	 [40, 40, 40, 40, 40] 	 40.0 	 0.0 	 0.0 	 0 	 0.0
47 	 [50, 50, 50, 50, 50] 	 50.0 	 0.0 	 0.0 	 0 	 0.0
48 	 [50, 50, 50, 50, 50] 	 50.0 	 0.0 	 0.0 	 0 	 0.0
49 	 [50, 50, 50, 50] 	 50.0 	 0.0 	 0.0 	 1 	 0.2
50 	 [50, 50] 	 50.0 	 0.0 	 0.0 	 3 	 0.6
51 	 [50, 50, 50, 50, 50] 	 50.0 	 0.0 	 0.0 	 0 	 0.0
52 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
53 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
54 	 [50, 50, 50, 50, 50] 	 50.0 	 0.0 	 0.0 	 0 	 0.0
55 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
