nodeID 	 array_of_pol_pos 	 mean 	 var 	 std 	 NA_count 	 prob_of_NA 
0 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
1 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
2 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
3 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
4 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
5 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
6 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
7 	 [50, 50] 	 50.0 	 0.0 	 0.0 	 3 	 0.6
8 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
9 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
10 	 [30, 30, 30, 30, 30] 	 30.0 	 0.0 	 0.0 	 0 	 0.0
11 	 [50, 50, 50, 50, 50] 	 50.0 	 0.0 	 0.0 	 0 	 0.0
12 	 [50, 50, 50] 	 50.0 	 0.0 	 0.0 	 2 	 0.4
13 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
14 	 [50, 50, 50, 50, 50] 	 50.0 	 0.0 	 0.0 	 0 	 0.0
15 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
16 	 [50, 50, 50, 50, 50] 	 50.0 	 0.0 	 0.0 	 0 	 0.0
17 	 [50, 50, 50] 	 50.0 	 0.0 	 0.0 	 2 	 0.4
18 	 [50, 50] 	 50.0 	 0.0 	 0.0 	 3 	 0.6
19 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
20 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
21 	 [20, 30, 30, 20, 30] 	 26.0 	 24.0 	 4.898979485566356 	 0 	 0.0
22 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
23 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
24 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
25 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
26 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
27 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
28 	 [40, 40, 40, 40, 40] 	 40.0 	 0.0 	 0.0 	 0 	 0.0
29 	 [30, 30, 30, 30, 40] 	 32.0 	 16.0 	 4.0 	 0 	 0.0
30 	 [70, 70, 70, 70, 70] 	 70.0 	 0.0 	 0.0 	 0 	 0.0
31 	 [40, 40, 40, 40, 40] 	 40.0 	 0.0 	 0.0 	 0 	 0.0
32 	 [40, 40, 40, 40, 40] 	 40.0 	 0.0 	 0.0 	 0 	 0.0
33 	 [40, 30, 30, 30, 40] 	 34.0 	 24.0 	 4.898979485566356 	 0 	 0.0
34 	 [50, 50, 50, 50, 50] 	 50.0 	 0.0 	 0.0 	 0 	 0.0
35 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
36 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
