nodeID 	 array_of_pol_pos 	 mean 	 var 	 std 	 NA_count 	 prob_of_NA 
0 	 [30, 30, 30, 30] 	 30.0 	 0.0 	 0.0 	 1 	 0.2
1 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
2 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
3 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
4 	 [50, 50] 	 50.0 	 0.0 	 0.0 	 3 	 0.6
5 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
6 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
7 	 [60] 	 60.0 	 0.0 	 0.0 	 4 	 0.8
8 	 [30] 	 30.0 	 0.0 	 0.0 	 4 	 0.8
9 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
10 	 [30, 30, 30, 20, 30] 	 28.0 	 16.0 	 4.0 	 0 	 0.0
11 	 [35, 30, 30] 	 31.666666666666668 	 5.555555555555556 	 2.3570226039551585 	 2 	 0.4
12 	 [40, 50, 50, 40] 	 45.0 	 25.0 	 5.0 	 1 	 0.2
13 	 [25] 	 25.0 	 0.0 	 0.0 	 4 	 0.8
14 	 [30, 30, 40, 30, 30] 	 32.0 	 16.0 	 4.0 	 0 	 0.0
15 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
16 	 [30, 40, 40, 30, 30] 	 34.0 	 24.0 	 4.898979485566356 	 0 	 0.0
17 	 [50, 40, 60, 60, 60] 	 54.0 	 64.0 	 8.0 	 0 	 0.0
18 	 [30, 30, 40, 30, 40] 	 34.0 	 24.0 	 4.898979485566356 	 0 	 0.0
19 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
20 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
21 	 [30, 30, 40, 30, 30] 	 32.0 	 16.0 	 4.0 	 0 	 0.0
22 	 [30] 	 30.0 	 0.0 	 0.0 	 4 	 0.8
23 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
24 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
25 	 [30, 30] 	 30.0 	 0.0 	 0.0 	 3 	 0.6
26 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
27 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
28 	 [30, 30, 30, 30, 40] 	 32.0 	 16.0 	 4.0 	 0 	 0.0
29 	 [75, 75, 75, 70, 75] 	 74.0 	 4.0 	 2.0 	 0 	 0.0
30 	 [75, 70, 75, 70, 75] 	 73.0 	 6.0 	 2.449489742783178 	 0 	 0.0
31 	 [30, 30, 30, 35, 30] 	 31.0 	 4.0 	 2.0 	 0 	 0.0
32 	 [65, 40, 30, 40, 30] 	 41.0 	 164.0 	 12.806248474865697 	 0 	 0.0
33 	 [30, 30, 40, 40, 30] 	 34.0 	 24.0 	 4.898979485566356 	 0 	 0.0
34 	 [40, 50, 40, 40] 	 42.5 	 18.75 	 4.330127018922194 	 1 	 0.2
35 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
36 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
37 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
38 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
39 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
40 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
41 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
42 	 [50, 30, 40, 40] 	 40.0 	 50.0 	 7.0710678118654755 	 1 	 0.2
43 	 [70, 60, 70, 70, 40] 	 62.0 	 136.0 	 11.661903789690601 	 0 	 0.0
44 	 [60, 60, 60, 70, 70] 	 64.0 	 24.0 	 4.898979485566356 	 0 	 0.0
45 	 [30, 30, 30, 25] 	 28.75 	 4.6875 	 2.165063509461097 	 1 	 0.2
46 	 [50, 25] 	 37.5 	 156.25 	 12.5 	 3 	 0.6
47 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
48 	 [30, 30] 	 30.0 	 0.0 	 0.0 	 3 	 0.6
49 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
50 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
51 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
52 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
53 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
54 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
55 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
56 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
57 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
58 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
59 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
60 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
61 	 [60, 80] 	 70.0 	 100.0 	 10.0 	 3 	 0.6
62 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
63 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
64 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
65 	 [30, 30] 	 30.0 	 0.0 	 0.0 	 3 	 0.6
66 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
67 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
68 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
69 	 [70] 	 70.0 	 0.0 	 0.0 	 4 	 0.8
70 	 [40, 40, 30] 	 36.666666666666664 	 22.222222222222225 	 4.714045207910317 	 2 	 0.4
71 	 [60] 	 60.0 	 0.0 	 0.0 	 4 	 0.8
72 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
73 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
74 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
75 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
76 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
77 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
78 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
79 	 [] 	 nan 	 nan 	 nan 	 5 	 1.0
80 	 [30, 30, 30, 40] 	 32.5 	 18.75 	 4.330127018922194 	 1 	 0.2
81 	 [30, 30, 30, 30, 30] 	 30.0 	 0.0 	 0.0 	 0 	 0.0
82 	 [30, 20, 30, 30, 20] 	 26.0 	 24.0 	 4.898979485566356 	 0 	 0.0
